qid,gt,pred_label,pred_sent
2475,0,0,yes
2479,0,0,yes
2481,290,1,no
2509,1,1,no
2515,0,0,yes
2520,1,1,no
2524,1,1,no
2538,0,0,yes
2545,0,1,no
2546,0,0,yes
2552,86,0,yes
2554,299,0,yes
2563,1,1,no
2568,1,1,no
2581,300,0,yes
2586,0,0,yes
2592,1,0,yes
2594,0,1,no
2596,1,0,yes
2598,0,0,yes
2600,10,0,yes
2607,1,1,no
2617,235,0,yes
2623,303,247,left rectus abdominus
2627,304,1,no
2632,1,1,no
2642,1,1,no
2652,0,1,no
2660,1,1,no
2662,309,0,yes
2682,0,0,yes
2702,1,1,no
2710,1,0,yes
2714,1,1,no
2716,18,0,yes
2721,0,1,no
2724,1,1,no
2726,1,0,yes
2731,1,0,yes
2735,63,1,no
2741,315,0,yes
2745,1,0,yes
2752,317,27,right parietal lobe
2770,71,0,yes
2771,24,0,yes
2788,0,0,yes
2790,0,0,yes
2817,0,0,yes
2818,0,0,yes
2821,311,1,no
2823,311,40,right
2834,0,0,yes
2837,0,0,yes
2839,0,0,yes
2845,1,0,yes
2878,334,0,yes
2880,334,0,yes
2902,10,1,no
2903,10,1,no
2904,0,0,yes
2905,0,0,yes
2938,324,0,yes
2939,173,0,yes
2940,339,0,yes
2942,339,0,yes
2949,0,1,no
2952,0,0,yes
2954,0,0,yes
2970,188,1,no
2987,343,0,yes
2989,343,0,yes
3001,1,1,no
3003,1,1,no
3015,347,1,no
3017,347,1,no
3026,235,0,yes
3027,235,0,yes
3030,10,0,yes
3055,1,1,no
3057,1,1,no
3059,1,1,no
3061,1,1,no
3084,356,0,yes
3086,356,0,yes
3132,0,0,yes
3136,1,1,no
3138,1,1,no
